id,job_title,company_name,location,salary,apply_link,skills,is_active,chunk_text
117,"Manager, Software Development",Fiserv,"Pune - Trion Business Park, India",,https://fiserv.wd5.myworkdayjobs.com/en-US/EXT/job/Pune---Trion-Business-Park-India/Manager--Software-Development_R-10391992,,1,"Manager, Software Development at Fiserv in the Fintech industry. Required technical skills include Java, Microservices, RESTful APIs, SQL databases (Oracle/Postgres), Kafka, cloud platforms (AWS, Azure, GCP), CI/CD pipelines, DevOps practices, and Kubernetes. The role requires 8+ years of software development experience and 3+ years in a leadership position. Key responsibilities involve leading a team of software engineers, overseeing the design and implementation of Java-based microservices, and driving engineering best practices. Preferred qualifications include prior experience in payments or regulated fintech, exposure to hybrid environments, and familiarity with AI APIs for engineering use cases."
118,B2B Product Manager/Senior Product Manager,Fiserv,"Pune - Trion Business Park, India",,https://fiserv.wd5.myworkdayjobs.com/en-US/EXT/job/Pune---Trion-Business-Park-India/B2B-Product-Manager-Senior-Product-Manager_R-10391584,,1,"B2B Product Manager/Senior Product Manager at Fiserv in the Fintech and payments industry. Required technical skills include experience with Agile methodologies, product management tools, and a strong understanding of APIs. A minimum of 5 years of experience in product management is required. Key responsibilities involve leading the SnapPay platform, translating product strategy into user stories and functional requirements, and managing the product backlog across Agile Scrum teams. The role also includes collaborating with cross-functional teams to ensure alignment between business goals and customer needs. Preferred qualifications include a deep understanding of B2B payment solutions and experience in a high-revenue, high-volume environment."
119,"Advisor, Software Development Engineering",Fiserv,"Pune - Trion Business Park, India",,https://fiserv.wd5.myworkdayjobs.com/en-US/EXT/job/Pune---Trion-Business-Park-India/Advisor--Software-Development-Engineering_R-10392171,,1,"Advisor, Software Development Engineering at Fiserv in the Fintech industry. Required technical skills include expert-level Java, proficiency in .NET, Python, React, AWS (or comparable cloud), Kubernetes, event-driven architectures, and streaming platforms like Kafka. Candidates should have experience with CI/CD, infrastructure automation, observability stacks, and AI-assisted engineering tools. A minimum of several years of experience in software delivery within complex, distributed, highly regulated environments is required. Key responsibilities involve designing and shipping microservices and event-driven capabilities, integrating AI workflows, modernizing legacy components, and improving developer experience through automation and AI-enabled tooling. Preferred qualifications include experience with AI APIs, LLM-powered features, and familiarity with payments or real-time financial systems."
2286,Principal Engineer AI/ML,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/GenStudio---Software-Development-Engineer-55_R157937,,1,"Principal Engineer AI/ML, Senior Level at Adobe in the technology industry. Required technical skills include deep expertise in NLP, Computer Vision, Deep Learning, and Generative AI, with expert-level experience in LLM fine-tuning techniques (LoRA, QLoRA), prompt engineering, RAG/GraphRAG, vector databases, and multi-agent orchestration. Proficiency in modern ML frameworks such as PyTorch, TensorFlow/Keras, JAX, Hugging Face, and CUDA, along with strong Python skills is essential. Candidates should have 14+ years of experience in AI/ML and a Bachelor's, Master's, or Ph.D. in Computer Science or a related field. Key responsibilities involve shaping the technical vision for GenAI initiatives, architecting end-to-end AI systems, and driving innovation in representation learning and evaluation systems. Preferred qualifications include recognition as a thought leader in AI/ML, experience in building GenAI-first applications at enterprise scale, and a first-principles mindset for AI system design and evaluation."
2287,Sr. M&A Finance Analyst,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Sr-M-A-Finance-Integration-Analyst_R169572-1,,1,"Role title: Sr. M&A Finance Analyst, Company: Adobe, Industry: Technology. Required technical skills: Strong Finance acumen across Finance workstreams (Accounting, Revenue, Treasury, FP&A, Tax, Global Source to Pay, Quote to Cash, Payroll, Equity), background in GTM, Lead to Quote, and enterprise systems (ERP, CRM, HRIS). Years of experience required: 6+ years in Global M&A and large-scale integrations. Key responsibilities: Lead and manage end-to-end execution of M&A transactions, ensuring successful delivery of integration activities and alignment across strategies. Develop integration-related key performance indicators and implement best practices throughout the M&A lifecycle. Preferred qualifications: Bachelor’s degree, consultative problem-solving approach, ability to bridge technical-business gaps."
2288,"Manager, Applied Science for Data",Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Manager--Applied-Science-for-Data_R169322,,1,"Manager, Applied Science for Data at Adobe in the technology industry. Required technical skills include expertise in machine learning, data algorithms, large-scale data pipelines, and experience with synthetic data creation and curation. Candidates should have a Master’s or Ph.D. in Computer Science, Data Science, Engineering, AI/ML, or a related field, along with 5+ years of experience in engineering leadership. Key responsibilities involve leading a distributed team focused on training data for generative AI, defining strategies for dataset management, and collaborating with researchers and ML engineers to align on data needs. Preferred qualifications include a deep understanding of ML data lifecycles for generative models and strong knowledge of data privacy, security, and ethical AI principles."
2289,"Director, ML Services Engineering",Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Director--ML-Engineering_R169097,,1,"Director, ML Services Engineering at Adobe in the Media & Entertainment industry. Required technical skills include expertise in machine learning, generative models, and architectural patterns for productionizing custom models across image, video, and 3D. Candidates should have experience with GPU utilization and cost management in managed services. A minimum of 10 years of experience in engineering leadership roles is required. Key responsibilities include defining and implementing the technical strategy for Firefly Foundry, overseeing the engineering organization, and ensuring the production of high-performance ML systems. Preferred qualifications include experience in managing multi-team engineering organizations and a strong background in AI platforms and infrastructure negotiation."
2290,"Group Manager, Sales Coaching & Performance Enablement",Adobe,Remote India,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Remote-India/Group-Manager--Sales-Coaching---Performance-Enablement_R168271,,1,"Group Manager, Sales Coaching & Performance Enablement at Adobe, a company in the software industry. Required skills include sales strategy, coaching, performance enablement, and understanding of modern business professional personas. Candidates should have significant experience in sales enablement and coaching, with a focus on transforming sales conversations and engagement strategies. Key responsibilities involve defining sales readiness strategies, developing engagement models, standardizing conversation frameworks, and implementing coaching programs to enhance seller capabilities. Preferred qualifications include experience in AI-driven workflows and content management."
2291,Senior Solution Account Manager (Contractor),Adobe,Seoul,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Seoul/Senior-Solution-Account-Manager--Contractor-_R169877-1,,1,"Senior Solution Account Manager (Contractor) at Adobe in the MarTech and Digital Experience industry. Required technical skills include expertise in Customer Experience Orchestration (CXO) solutions and familiarity with Adobe's customer experience platform. Candidates should have 5+ years of experience in solution account management, strategic account management, consulting, or related customer-facing roles. Key responsibilities involve leading the post-sales customer experience, driving adoption and usage of CXO solutions, managing renewals, and identifying expansion opportunities for additional revenue. Preferred qualifications include strong experience in Customer Experience and Digital Marketing Solutions, impactful presentation skills, and the ability to navigate complex business environments."
2292,Solutions Architect,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Solutions-Architect_R165615,,1,"Solutions Architect at Adobe, a leader in digital media and marketing solutions. Required technical skills include expertise in Adobe Campaign (standard/classic v7, v8) and Adobe Journey Optimizer (AJO), along with experience in CRM systems (Salesforce, Microsoft Dynamics), CDPs (AEP, Tealium, Segment), and data governance (GDPR, CCPA). Candidates should have a minimum of 5 years of experience in campaign implementations and orchestration solutions. Key responsibilities involve designing end-to-end campaign and journey orchestration solutions across various channels, architecting scalable data models, and ensuring solution scalability for high volumes. Preferred qualifications include strong customer-facing skills and experience presenting to senior executives."
